m6,m5,m4,m3,m2,m1,n
30.383,29.875,29.422,29.448,28.651,28.729,28.49
29.875,29.422,29.448,28.651,28.729,28.49,29.016
29.422,29.448,28.651,28.729,28.49,29.016,29.29
29.448,28.651,28.729,28.49,29.016,29.29,28.985
28.651,28.729,28.49,29.016,29.29,28.985,28.432
28.729,28.49,29.016,29.29,28.985,28.432,28.49
28.49,29.016,29.29,28.985,28.432,28.49,28.496
29.016,29.29,28.985,28.432,28.49,28.496,28.604
29.29,28.985,28.432,28.49,28.496,28.604,28.803
28.985,28.432,28.49,28.496,28.604,28.803,28.808
28.432,28.49,28.496,28.604,28.803,28.808,28.948
28.49,28.496,28.604,28.803,28.808,28.948,28.853
28.496,28.604,28.803,28.808,28.948,28.853,29.171
28.604,28.803,28.808,28.948,28.853,29.171,28.958
28.803,28.808,28.948,28.853,29.171,28.958,28.807
28.808,28.948,28.853,29.171,28.958,28.807,28.851
28.948,28.853,29.171,28.958,28.807,28.851,28.874
28.853,29.171,28.958,28.807,28.851,28.874,28.843
29.171,28.958,28.807,28.851,28.874,28.843,28.817
28.958,28.807,28.851,28.874,28.843,28.817,29.212
28.807,28.851,28.874,28.843,28.817,29.212,28.698
28.851,28.874,28.843,28.817,29.212,28.698,28.815
28.874,28.843,28.817,29.212,28.698,28.815,28.679
28.843,28.817,29.212,28.698,28.815,28.679,28.641
28.817,29.212,28.698,28.815,28.679,28.641,28.353
29.212,28.698,28.815,28.679,28.641,28.353,27.974
28.698,28.815,28.679,28.641,28.353,27.974,27.276
28.815,28.679,28.641,28.353,27.974,27.276,26.825
28.679,28.641,28.353,27.974,27.276,26.825,26.798
28.641,28.353,27.974,27.276,26.825,26.798,27.251
28.353,27.974,27.276,26.825,26.798,27.251,27.17
27.974,27.276,26.825,26.798,27.251,27.17,27.914
27.276,26.825,26.798,27.251,27.17,27.914,27.686
26.825,26.798,27.251,27.17,27.914,27.686,27.731
26.798,27.251,27.17,27.914,27.686,27.731,26.363
27.251,27.17,27.914,27.686,27.731,26.363,23.375
27.17,27.914,27.686,27.731,26.363,23.375,23.647
27.914,27.686,27.731,26.363,23.375,23.647,23.327
27.686,27.731,26.363,23.375,23.647,23.327,23.27
27.731,26.363,23.375,23.647,23.327,23.27,22.986
26.363,23.375,23.647,23.327,23.27,22.986,23.35
23.375,23.647,23.327,23.27,22.986,23.35,22.843
23.647,23.327,23.27,22.986,23.35,22.843,22.856
23.327,23.27,22.986,23.35,22.843,22.856,24.161
23.27,22.986,23.35,22.843,22.856,24.161,23.772
22.986,23.35,22.843,22.856,24.161,23.772,24.166
23.35,22.843,22.856,24.161,23.772,24.166,24.185
22.843,22.856,24.161,23.772,24.166,24.185,23.343
22.856,24.161,23.772,24.166,24.185,23.343,23.83
24.161,23.772,24.166,24.185,23.343,23.83,24.014
23.772,24.166,24.185,23.343,23.83,24.014,23.955
24.166,24.185,23.343,23.83,24.014,23.955,23.806
24.185,23.343,23.83,24.014,23.955,23.806,23.927
23.343,23.83,24.014,23.955,23.806,23.927,23.911
23.83,24.014,23.955,23.806,23.927,23.911,23.658
24.014,23.955,23.806,23.927,23.911,23.658,23.696
23.955,23.806,23.927,23.911,23.658,23.696,23.379
23.806,23.927,23.911,23.658,23.696,23.379,22.658
23.927,23.911,23.658,23.696,23.379,22.658,22.659
23.911,23.658,23.696,23.379,22.658,22.659,22.352
23.658,23.696,23.379,22.658,22.659,22.352,22.582
23.696,23.379,22.658,22.659,22.352,22.582,22.455
23.379,22.658,22.659,22.352,22.582,22.455,22.472
22.658,22.659,22.352,22.582,22.455,22.472,22.508
22.659,22.352,22.582,22.455,22.472,22.508,22.496
22.352,22.582,22.455,22.472,22.508,22.496,22.193
22.582,22.455,22.472,22.508,22.496,22.193,22.193
22.455,22.472,22.508,22.496,22.193,22.193,22.453
22.472,22.508,22.496,22.193,22.193,22.453,22.713
22.508,22.496,22.193,22.193,22.453,22.713,22.265
22.496,22.193,22.193,22.453,22.713,22.265,22.745
22.193,22.193,22.453,22.713,22.265,22.745,22.433
22.193,22.453,22.713,22.265,22.745,22.433,22.497
22.453,22.713,22.265,22.745,22.433,22.497,22.732
22.713,22.265,22.745,22.433,22.497,22.732,21.768
22.265,22.745,22.433,22.497,22.732,21.768,21.95
22.745,22.433,22.497,22.732,21.768,21.95,21.671
22.433,22.497,22.732,21.768,21.95,21.671,21.821
22.497,22.732,21.768,21.95,21.671,21.821,21.605
22.732,21.768,21.95,21.671,21.821,21.605,21.975
21.768,21.95,21.671,21.821,21.605,21.975,21.779
21.95,21.671,21.821,21.605,21.975,21.779,21.698
21.671,21.821,21.605,21.975,21.779,21.698,21.644
21.821,21.605,21.975,21.779,21.698,21.644,19.844
21.605,21.975,21.779,21.698,21.644,19.844,19.98
21.975,21.779,21.698,21.644,19.844,19.98,19.508
21.779,21.698,21.644,19.844,19.98,19.508,19.539
21.698,21.644,19.844,19.98,19.508,19.539,18.606
21.644,19.844,19.98,19.508,19.539,18.606,18.553
19.844,19.98,19.508,19.539,18.606,18.553,19.47
19.98,19.508,19.539,18.606,18.553,19.47,19.578
19.508,19.539,18.606,18.553,19.47,19.578,19.309
19.539,18.606,18.553,19.47,19.578,19.309,19.7
18.606,18.553,19.47,19.578,19.309,19.7,18.736
18.553,19.47,19.578,19.309,19.7,18.736,18.736
19.47,19.578,19.309,19.7,18.736,18.736,19.038
19.578,19.309,19.7,18.736,18.736,19.038,19.138
19.309,19.7,18.736,18.736,19.038,19.138,19.165
19.7,18.736,18.736,19.038,19.138,19.165,19.956
18.736,18.736,19.038,19.138,19.165,19.956,19.792
18.736,19.038,19.138,19.165,19.956,19.792,19.839
19.038,19.138,19.165,19.956,19.792,19.839,19.935
19.138,19.165,19.956,19.792,19.839,19.935,19.42
19.165,19.956,19.792,19.839,19.935,19.42,19.389
19.956,19.792,19.839,19.935,19.42,19.389,19.46
19.792,19.839,19.935,19.42,19.389,19.46,20.509
19.839,19.935,19.42,19.389,19.46,20.509,20.254
19.935,19.42,19.389,19.46,20.509,20.254,20.02
19.42,19.389,19.46,20.509,20.254,20.02,20.154
19.389,19.46,20.509,20.254,20.02,20.154,19.771
19.46,20.509,20.254,20.02,20.154,19.771,19.864
20.509,20.254,20.02,20.154,19.771,19.864,19.692
20.254,20.02,20.154,19.771,19.864,19.692,19.643
20.02,20.154,19.771,19.864,19.692,19.643,19.644
20.154,19.771,19.864,19.692,19.643,19.644,19.928
19.771,19.864,19.692,19.643,19.644,19.928,19.734
19.864,19.692,19.643,19.644,19.928,19.734,19.539
19.692,19.643,19.644,19.928,19.734,19.539,19.524
19.643,19.644,19.928,19.734,19.539,19.524,20.21
19.644,19.928,19.734,19.539,19.524,20.21,20.424
